trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1110,False,"{'a': 0.6, 'e': 0.014425654663138186}",25,17,17.238342657459285,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1111,False,"{'a': 0.6, 'e': 0.014182648087377571}",30,21,15.729250661878757,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1112,False,"{'a': 0.6, 'e': 0.01394278564295086}",30,18,22.86112092797971,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1113,False,"{'a': 0.6, 'e': 0.013706042802569022}",20,15,8.313301154119266,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1114,False,"{'a': 0.6, 'e': 0.013472394998928532}",25,9,30.695324034471994,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1115,False,"{'a': 0.6, 'e': 0.013241817627969466}",35,14,35.83299215709007,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
1116,False,"{'a': 0.6, 'e': 0.013014286052127816}",30,13,29.140046116788117,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1117,False,"{'a': 0.6, 'e': 0.012789775603583202}",25,3,24.83123453816873,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
1118,False,"{'a': 0.6, 'e': 0.012568261587499423}",35,22,21.944862259249074,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1119,False,"{'a': 0.6, 'e': 0.012349719285258751}",20,11,16.332069589035314,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1120,False,"{'a': 0.6, 'e': 0.012134123957687665}",25,17,17.431098916345817,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1121,False,"{'a': 0.6, 'e': 0.011921450848274808}",30,12,25.80061612129151,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
1122,False,"{'a': 0.6, 'e': 0.011711675186378947}",20,6,-18.360096204140106,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
1123,False,"{'a': 0.6, 'e': 0.011504772190427606}",20,6,29.041360263517888,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1124,False,"{'a': 0.6, 'e': 0.011300717071104293}",25,13,23.61116104732843,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1125,False,"{'a': 0.6, 'e': 0.011099485034524953}",20,9,19.972453591068373,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1126,False,"{'a': 0.6, 'e': 0.010901051285401437}",25,6,27.00290420317188,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
1127,False,"{'a': 0.6, 'e': 0.01070539103019282}",25,16,3.678593004245328,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
1128,False,"{'a': 0.6, 'e': 0.010512479480242365}",20,9,20.46988148227831,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1129,False,"{'a': 0.6, 'e': 0.010322291854900731}",20,14,9.816220718218734,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1130,False,"{'a': 0.6, 'e': 0.010134803384633477}",25,17,15.1700281309895,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1131,False,"{'a': 0.6, 'e': 0.009949989314113386}",25,17,13.903421486873027,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1132,False,"{'a': 0.6, 'e': 0.009767824905295692}",25,12,11.124145713354569,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
1133,False,"{'a': 0.6, 'e': 0.009588285440476654}",25,12,23.757128962755196,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1134,False,"{'a': 0.6, 'e': 0.009411346225333683}",30,13,30.084632474257834,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1135,False,"{'a': 0.6, 'e': 0.009236982591947407}",20,16,8.160483375414437,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1136,False,"{'a': 0.6, 'e': 0.009065169901803926}",25,8,29.880074698332784,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1137,False,"{'a': 0.6, 'e': 0.008895883548777671}",20,13,11.741932858993568,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1138,False,"{'a': 0.6, 'e': 0.008729098962093}",20,9,19.878293291477092,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1139,False,"{'a': 0.6, 'e': 0.00856479160926519}",20,0,13.224493816871126,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
1140,False,"{'a': 0.6, 'e': 0.008402936999018788}",20,7,24.460167685841306,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1141,False,"{'a': 0.6, 'e': 0.008243510684183929}",25,8,-10.32620694371605,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
1142,False,"{'a': 0.6, 'e': 0.008086488264568955}",20,15,9.140493249085289,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1143,False,"{'a': 0.6, 'e': 0.007931845389809525}",20,14,11.98985065181682,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1144,False,"{'a': 0.6, 'e': 0.007779557762192813}",20,13,12.408508866543901,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1145,False,"{'a': 0.6, 'e': 0.0076296011394569666}",20,10,19.979176410684786,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1146,False,"{'a': 0.6, 'e': 0.007481951337564392}",25,11,26.38014392318194,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1147,False,"{'a': 0.6, 'e': 0.007336584233449116}",25,20,11.129047938716374,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
