trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
114,False,"{'a': 0.7, 'e': 0.30564204206642587}",20,0,-4.838628005576876,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
115,False,"{'a': 0.7, 'e': 0.37962168297153187}",35,17,-30.305287705319756,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 1}",1
116,False,"{'a': 0.7, 'e': 0.886343398755548}",25,0,-119.1363529826405,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
117,False,"{'a': 0.7, 'e': 0.9762039646071997}",30,0,-169.54476002749396,"{0: 14, 1: 4, 2: 10, 3: 1, 4: 1}",0
118,False,"{'a': 0.7, 'e': 0.6069405522963685}",20,0,-63.25276799689739,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
119,False,"{'a': 0.7, 'e': 0.0477764854671823}",30,16,-27.128173402331573,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
120,False,"{'a': 0.7, 'e': 0.6800234955873388}",20,13,-15.383002552374625,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
121,False,"{'a': 0.7, 'e': 0.9924448300725413}",20,0,-81.57801317047748,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
122,False,"{'a': 0.7, 'e': 0.8381038535963977}",20,0,-182.140097016856,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
123,False,"{'a': 0.7, 'e': 0.2895895390399107}",25,11,23.19580829057058,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.7, 'e': 0.3951232606884147}",20,5,-93.57436553347236,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 2}",1
125,False,"{'a': 0.7, 'e': 0.8940034169437217}",20,0,-181.25972222997427,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
126,False,"{'a': 0.7, 'e': 0.9724197970216705}",20,0,-80.4866497439066,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
127,False,"{'a': 0.7, 'e': 0.5934919520818666}",25,0,-80.61075954255274,"{0: 18, 1: 3, 2: 1, 3: 2, 4: 1}",0
128,False,"{'a': 0.7, 'e': 0.06456443148960143}",20,0,-15.337401225428257,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
129,False,"{'a': 0.7, 'e': 0.6922551540844388}",20,0,-63.429071336964874,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
130,False,"{'a': 0.7, 'e': 0.9943674609282015}",20,0,-102.04120073820268,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
131,False,"{'a': 0.7, 'e': 0.828813213477263}",25,0,-70.10057283448282,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
132,False,"{'a': 0.7, 'e': 0.2734551611642678}",20,0,-17.045206163132193,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
133,False,"{'a': 0.7, 'e': 0.41051312629904213}",25,12,4.511461098368171,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.7, 'e': 0.901410676019372}",25,0,-127.44260025866055,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
135,False,"{'a': 0.7, 'e': 0.9683606998774463}",25,0,-256.88570428373873,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 5}",0
136,False,"{'a': 0.7, 'e': 0.5798755555298442}",20,0,-47.99712665684586,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
137,False,"{'a': 0.7, 'e': 0.08133412338894434}",30,11,-14.099279648112098,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
138,False,"{'a': 0.7, 'e': 0.7042910931971771}",20,0,-60.202100486534896,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
139,False,"{'a': 0.7, 'e': 0.996008957022878}",20,0,-73.42954995826608,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
140,False,"{'a': 0.7, 'e': 0.8192882452914593}",25,0,-240.6705267990596,"{0: 11, 1: 2, 2: 7, 3: 1, 4: 4}",0
141,False,"{'a': 0.7, 'e': 0.2572434700675131}",25,6,-24.06882319897036,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 0}",1
142,False,"{'a': 0.7, 'e': 0.42578692866929124}",20,0,-127.8797182530889,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
143,False,"{'a': 0.7, 'e': 0.9085630817486419}",25,0,-156.40431515827038,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
144,False,"{'a': 0.7, 'e': 0.9640278207918389}",30,0,-202.1708332784659,"{0: 19, 1: 3, 2: 3, 3: 1, 4: 4}",0
145,False,"{'a': 0.7, 'e': 0.5660952123664124}",20,3,2.7336149221831407,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
146,False,"{'a': 0.7, 'e': 0.09808081991661922}",30,1,-7.424146704544225,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 1}",1
147,False,"{'a': 0.7, 'e': 0.7161279100377899}",20,0,-17.902848090459045,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
148,False,"{'a': 0.7, 'e': 0.9973688542609231}",20,0,-12.788775181613575,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
149,False,"{'a': 0.7, 'e': 0.8095316420069039}",25,11,9.901592154890775,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.7, 'e': 0.24095904923620143}",25,0,12.598352953459118,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
151,False,"{'a': 0.7, 'e': 0.4409403494792779}",25,0,-62.768219497009945,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
152,False,"{'a': 0.7, 'e': 0.9154586119516489}",20,0,-166.4814530898182,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
153,False,"{'a': 0.7, 'e': 0.9594223847877604}",25,0,-163.8896613638786,"{0: 14, 1: 0, 2: 8, 3: 1, 4: 2}",0
154,False,"{'a': 0.7, 'e': 0.5521548186698892}",35,0,-39.5075490301433,"{0: 28, 1: 2, 2: 4, 3: 1, 4: 0}",0
155,False,"{'a': 0.7, 'e': 0.1147997863254662}",25,12,22.819409684364626,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.7, 'e': 0.727762258015802}",20,14,-29.502800181453257,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
157,False,"{'a': 0.7, 'e': 0.9984467681623537}",20,0,-127.94849215339623,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
